iter	Logloss
0	0.6439454999
1	0.5993573857
2	0.5634130557
3	0.5315890232
4	0.5104064794
5	0.4887535508
6	0.4698338446
7	0.4538090851
8	0.4388387861
9	0.4265497265
10	0.4157190881
11	0.4052015592
12	0.3971980117
13	0.3894365034
14	0.3847753987
15	0.3796872488
16	0.3750841517
17	0.371208256
18	0.3675753762
19	0.3647722947
20	0.3612108279
21	0.3581352569
22	0.3552875623
23	0.3533592542
24	0.3509764287
25	0.3490705437
26	0.3475148628
27	0.345771243
28	0.3444829634
29	0.3426325128
30	0.3414233423
31	0.3404177112
32	0.3386191529
33	0.3369347475
34	0.3350584932
35	0.3340842424
36	0.3327274754
37	0.3316671876
38	0.3302052699
39	0.3292866344
40	0.328444043
41	0.3278912281
42	0.3271072378
43	0.3262186278
44	0.3256956189
45	0.3250430087
46	0.3243073442
47	0.3238759818
48	0.323193472
49	0.3225441653
50	0.3218496147
51	0.3212469659
52	0.3201718059
53	0.3195438765
54	0.3187954379
55	0.317740573
56	0.3173478613
57	0.3169352648
58	0.3162355462
59	0.3156478197
60	0.3152257259
61	0.3144502962
62	0.3137291414
63	0.3131781675
64	0.3128362197
65	0.3124453594
66	0.3120472753
67	0.3117622718
68	0.3111772024
69	0.3109210268
70	0.3106864273
71	0.3097892598
72	0.3091230238
73	0.3086590745
74	0.3084623095
75	0.3082880552
76	0.3080340376
77	0.3076684146
78	0.3074811347
79	0.3068212032
80	0.3064506979
81	0.3060174528
82	0.305933325
83	0.3056156171
84	0.3053660801
85	0.3051832419
86	0.3049969539
87	0.3048955671
88	0.3045423023
89	0.3042805747
90	0.3037715315
91	0.303437991
92	0.3031712548
93	0.3029559133
94	0.3026907356
95	0.3025521118
96	0.3021934636
97	0.3020104778
98	0.3017494069
99	0.301655471
100	0.3014454986
101	0.3013028347
102	0.3011671804
103	0.300837855
104	0.3006193762
105	0.3005006531
106	0.3003311471
107	0.3000863085
108	0.2998550225
109	0.2997134028
110	0.2996286811
111	0.2993599039
112	0.2990544381
113	0.2989613083
114	0.2987292708
115	0.2983463219
116	0.29822686
117	0.2981403098
118	0.2980159445
119	0.2978743578
120	0.297662259
121	0.2975345234
122	0.2973086837
123	0.297252979
124	0.2970416106
125	0.2969453989
126	0.2968564355
127	0.2966426645
128	0.2964594845
129	0.2961193092
130	0.2960517174
131	0.2959956023
132	0.2959068324
133	0.2957164525
134	0.2955757731
135	0.2953558235
136	0.2951465331
137	0.2950155759
138	0.294672251
139	0.294440086
140	0.2938950885
141	0.2938289882
142	0.2937687441
143	0.2935371428
144	0.2934342742
145	0.2932623334
146	0.2931796091
147	0.2930869396
148	0.2930141441
149	0.2928432016
150	0.2927508472
151	0.2926663737
152	0.2925872695
153	0.2924899946
154	0.2923125747
155	0.2921799726
156	0.2919723717
157	0.2919014891
158	0.2917279464
159	0.2916254497
160	0.2915091295
161	0.2914684422
162	0.2913632689
163	0.2913037714
164	0.2911463399
165	0.2910650961
166	0.2909827396
167	0.2907549817
168	0.29065378
169	0.2905518094
170	0.2904168109
171	0.2901228406
172	0.2900063153
173	0.2898727517
174	0.2898094186
175	0.2897274292
176	0.2895325232
177	0.2894400283
178	0.2893901531
179	0.2893007946
180	0.2892281591
181	0.289123042
182	0.2890615698
183	0.2890018402
184	0.2888430937
185	0.288760129
186	0.2886455295
187	0.288569067
188	0.2885118206
189	0.2884054844
190	0.2883062456
191	0.2882109237
192	0.2881282013
193	0.2880525847
194	0.2878272138
195	0.2877454812
196	0.287707544
197	0.2876586385
198	0.2873190536
199	0.2872156476
200	0.287160248
201	0.2870870978
202	0.2869654671
203	0.2868782208
204	0.2867238657
205	0.2866612018
206	0.2865584742
207	0.2864115668
208	0.2863425748
209	0.2862328296
210	0.2862032799
211	0.2857955648
212	0.2857030385
213	0.285549546
214	0.2854711439
215	0.2854287497
216	0.285305718
217	0.2851684921
218	0.2848107176
219	0.2847207032
220	0.2843624146
221	0.2841816935
222	0.2841164382
223	0.284063709
224	0.284005064
225	0.2837874104
226	0.2834718739
227	0.2833900585
228	0.2833402022
229	0.2832843325
230	0.2831684591
231	0.2828268272
232	0.2827767956
233	0.2826757315
234	0.2826251618
235	0.2824229673
236	0.2823387773
237	0.2822442635
238	0.2820135766
239	0.2819664578
240	0.2818483001
241	0.2817492632
242	0.2816428222
243	0.2815710189
244	0.2814368448
245	0.281299991
246	0.2812188054
247	0.2811571943
248	0.2808672748
249	0.2808175233
250	0.2805880951
251	0.2804938395
252	0.280237812
253	0.2800970231
254	0.279760193
255	0.2796773995
256	0.2795739584
257	0.2792872597
258	0.2792154739
259	0.2791577273
260	0.2790839721
261	0.2790033113
262	0.278937182
263	0.2788581737
264	0.2787767609
265	0.2787152437
266	0.2786216161
267	0.2785577095
268	0.2785191994
269	0.2784535347
270	0.2783891968
271	0.2782162513
272	0.278114422
273	0.2780673067
274	0.2780148634
275	0.2779757615
276	0.2778347003
277	0.2777660066
278	0.2776961671
279	0.2776527305
280	0.2776006722
281	0.2775106764
282	0.2774602224
283	0.2774114244
284	0.2773410698
285	0.2773131297
286	0.2772452356
287	0.2771945896
288	0.2771583276
289	0.2771168355
290	0.2770360629
291	0.2768424943
292	0.2767770929
293	0.2766718503
294	0.2766201056
295	0.2765496804
296	0.2765041802
297	0.2763559219
298	0.2763101725
299	0.2762541251
300	0.2762081441
301	0.2761334462
302	0.276086974
303	0.2760444401
304	0.2759924494
305	0.2759686664
306	0.2759327217
307	0.2758311656
308	0.2757805033
309	0.275553666
310	0.2753744831
311	0.2753149223
312	0.2751678858
313	0.2751107629
314	0.2750786355
315	0.2750041915
316	0.2749753159
317	0.2749188216
318	0.2748278243
319	0.2747528816
320	0.2747328545
321	0.2746852312
322	0.2746217599
323	0.2745551631
324	0.2745035286
325	0.2744708885
326	0.27437536
327	0.2743240089
328	0.2742805903
329	0.2742381199
330	0.2742089099
331	0.2741662839
332	0.2740845042
333	0.2740497075
334	0.2739592828
335	0.2738717367
336	0.2738107907
337	0.2737466641
338	0.2736690936
339	0.2736131585
340	0.2735108766
341	0.2734509392
342	0.2733891572
343	0.2733462325
344	0.2732962755
345	0.2732510612
346	0.2732058635
347	0.2731453341
348	0.2729603081
349	0.2728952608
350	0.2728657124
351	0.2728177755
352	0.2727698807
353	0.2727109978
354	0.2726638296
355	0.2726207097
356	0.2724781729
357	0.2724276488
358	0.2723723628
359	0.2723418078
360	0.2723037091
361	0.2722721727
362	0.2722026268
363	0.2721718113
364	0.2721353951
365	0.272090755
366	0.2720730774
367	0.2720234016
368	0.2719881436
369	0.2719527582
370	0.2719261092
371	0.2718876514
372	0.2718618358
373	0.2718425713
374	0.271785305
375	0.2717275856
376	0.2715869412
377	0.2715591611
378	0.2715082805
379	0.2714448302
380	0.2713890048
381	0.2712884718
382	0.271246798
383	0.2712166444
384	0.2711614669
385	0.2711060698
386	0.2710522307
387	0.2710066872
388	0.2709353663
389	0.2707167214
390	0.2706499985
391	0.2705951144
392	0.2705054111
393	0.2704468526
394	0.2703856943
395	0.2703580049
396	0.2703367075
397	0.2702790011
398	0.2702087068
399	0.2701676074
400	0.2701217655
401	0.2700538233
402	0.2699968633
403	0.2699526381
404	0.2698158024
405	0.2697768701
406	0.269743538
407	0.2697030678
408	0.2696394948
409	0.2695808615
410	0.2695535348
411	0.2695100938
412	0.2694752528
413	0.2694329662
414	0.2694136126
415	0.2693704277
416	0.2693133564
417	0.2692788036
418	0.2692335691
419	0.2691978496
420	0.2691385089
421	0.2691052988
422	0.269073232
423	0.269045111
424	0.2690193653
425	0.268986102
426	0.2689592049
427	0.2689207921
428	0.2688686938
429	0.2688105138
430	0.2687773284
431	0.2687393599
432	0.2686758701
433	0.2686456552
434	0.2686202679
435	0.2686011169
436	0.2685560916
437	0.2685154726
438	0.2684642554
439	0.2684242939
440	0.2683683175
441	0.2683407182
442	0.2682863037
443	0.2681569033
444	0.2681166697
445	0.2680959414
446	0.2680656861
447	0.2680212019
448	0.2679951265
449	0.2679607602
450	0.2679238067
451	0.267876117
452	0.2678107756
453	0.2677546231
454	0.2677237783
455	0.2676820672
456	0.2676422826
457	0.2675791948
458	0.2675603838
459	0.2674832619
460	0.2674538404
461	0.2674185981
462	0.2673919724
463	0.2673638475
464	0.2673181663
465	0.2672834539
466	0.2672456319
467	0.2672151378
468	0.2671814132
469	0.2671455693
470	0.2671300902
471	0.2671110645
472	0.267091084
473	0.2670625201
474	0.2670285512
475	0.26699066
476	0.2669603051
